"Trabalho.1" "P1" "Total.P1" "Trabalho.2" "P2" "Total.P2" "Média.P2" "Ata.P1" "Ata.P2" "Turno" "Turma" "Tempo1" "Tempo2" "Abandono" "Existente"
"125" 0 10 10 2 8 10 10 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"126" 1 7 8 2 4.8 6.8 7.3 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"127" 0 0 0 2 6.5 8.5 5.1 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"128" 1 3.5 4.5 2 6.5 8.5 6.9 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"129" 1 3.5 4.5 2 6.3 8.3 6.8 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"130" 1 7 8 2 4.3 6.3 7 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"131" 1 4 5 2 6 8 6.8 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"132" 1 4 5 2 6 8 6.8 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"133" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4AN" 1 5 NA "N"
"134" 0 10 10 2 8 10 10 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"135" 1 4 5 2 2 4 4.4 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"136" 1 7 8 2 6.5 8.5 8.3 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"137" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4AN" 1 5 NA "N"
"138" 1 4 5 2 3 5 5 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"139" 1 6 7 2 3.4 5.4 6 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"140" 1 4.5 5.5 2 6 8 7 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"141" 1 5.5 6.5 2 6 8 7.4 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"142" 1 4.5 5.5 2 6.5 8.5 7.3 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"143" 1 7.5 8.5 2 7.9 9.9 9.3 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"144" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4AN" 1 5 NA "N"
"145" 1 3 4 NA NA 0 1.6 "S" "S" "2N" "Civil4AN" 1 5 "S" "S"
"146" 1 2.5 3.5 2 4.2 6.2 5.1 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"147" 1 6 7 0 6 6 6.4 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"148" 1 3 4 2 4 6 5.2 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"149" NA NA 0 NA NA 0 0 "N" "S" "2N" "Civil4AN" 1 5 NA "N"
"150" 1 8.5 9.5 2 6 8 8.6 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"151" NA NA 0 2 2 4 2.4 "S" "S" "2N" "Civil4AN" 1 5 NA "S"
"152" 1 8.5 9.5 2 6 8 8.6 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"153" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4AN" 1 5 NA "N"
"154" 1 2.5 3.5 2 5 7 5.6 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"155" 1 6 7 2 4.5 6.5 6.7 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"156" 1 3.5 4.5 2 8 10 7.8 "S" "S" "2N" "Civil4AN" 1 5 "N" "S"
"157" 1 4 5 0 0 0 2 "N" "N" "2N" "Civil4AN" 1 5 "N" "S"
"158" 1 4.5 5.5 2 0.5 2.5 3.7 "N" "N" "2N" "Civil4AN" 1 5 "N" "S"
"159" NA NA 0 NA NA 0 0 "N" "N" "2N" "Civil4AN" 1 5 NA "N"
"160" 1 6.5 7.5 2 5.5 7.5 7.5 "N" "N" "2N" "Civil4AN" 1 5 "N" "S"
"161" 0 0 0 NA NA 0 0 "N" "N" "2N" "Civil4AN" 1 5 "S" "S"
